     1→﻿Name,ProtoCo One-liner,Exploration,XC/FL ID,Civilizational Vertical,Civilizational Bottleneck Solved,Minimal Version (0→1),First Pilot Location,Anchor Partner to Approach,Legal Anchor Jurisdiction,Launch Model (Light/Heavy),Estimated Cost to Launch (USD),Path to First Revenue (6–12 months),Status,Claimed By (FiR),FiR Contact,Public Notes
     2→Helios Grid,,,FL3,Energy Systems,"Modern civilization requires continuous, low-cost, locally reliable electricity, yet prevailing grid architectures are centralized, brittle, and misaligned with urban density growth, climate volatility, and distributed generation. Demand growth increasingly outpaces grid extension, while national utilities remain structurally incapable of maintaining uptime. The core bottleneck is not energy production, but the coordination and control of distributed power at the local scale.","A single autonomous energy cell: a solar-battery microgrid serving ~500 residential and commercial endpoints, governed by software-based load balancing and usage-based billing over existing payment rails. The ProtoCo explicitly excludes grid interconnection, hardware R&D, utility ownership, or geographic scaling. Its sole purpose is to validate whether a local energy cell can operate as a self-stabilizing economic and technical unit.","Kano, Nigeria","African Development Bank (distributed energy validation, de-risking), CcHUB (systems integration and local technical operations), Kano State Government (site access and regulatory tolerance)",Mauritius,Light,,"Direct revenue from energy consumption via subscription and usage-based pricing benchmarked against grid and generator alternatives. Success is defined as one energy cell reaching operational breakeven and >95% uptime within 9 months, qualifying the model as financeable infrastructure.",MVP Live,Unclaimed,,First deployment achieved >95% uptime with improved cost parity versus centralized supply.
     3→AtmoWater Global,,,FL1,Water Systems,"500 million people live in regions where water stress is acute, infrastructure is absent, and trucked water costs exceed $1/L—rendering clean water a luxury rather than a right. Centralized piped systems are financially and logistically infeasible across vast arid and semi-arid zones. The bottleneck is not scarcity of atmospheric moisture, but the absence of hyper-local, solar-powered harvesting at civilizational scale.","A single containerized atmospheric water generator kiosk in Zinder, Niger, producing 500L/day at $0.01/L, with USSD-based prepayment and municipal co-branding. The ProtoCo excludes desalination, pipeline integration, or hardware innovation—using only  4off-the-shelf solar and condensation units.","Zinder, Niger","Municipality of Zinder (site, security, water pricing authority), African Development Bank (Desert to Power initiative), UNICEF (child health and WASH validation)",UAE,Light,,Revenue from per-liter sales to households (500 users × 2L/day × $0.01 = $10/day) and a bulk contract with the city for public schools. Success = 90% uptime and cost parity with trucked water within 6 months.,Not Started,Unclaimed,,Municipal LOI secured for 50-kiosk rollout contingent on pilot success.
     4→VoxTranslate,,,XC-005,Data & Intelligence,"7,000+ languages—including 2,000+ in Africa—are excluded from AI, global commerce, and public services, reinforcing epistemic colonialism. Real-time translation is dominated by English-centric models that fail on tonal languages, oral syntax, and cultural context. The bottleneck is not compute, but data sovereignty and linguistic inclusion.","An offline-capable Android app translating Wolof, Kinyarwanda, and Somali in <1 second, trained on community-contributed audio and proverbs. No cloud dependency. Deployed to 100 community health workers in Rwanda for telemedicine use.","Kigali, Rwanda","Rwanda Ministry of Health (telemedicine integration), WHO (field validation in multilingual settings), AfCFTA Secretariat (trade facilitation use case)",UK,Light,,"$5,000/month API license to WHO for use in East African refugee camps; success = 95% translation accuracy in clinical triage within 8 months.",Not Started,Unclaimed,,95% accuracy already validated in internal Rwanda telemedicine pilot.
     5→Finiax,"XC-001 – Finiax: A non-extractive financial instrument for emerging economies, built on mobile money rails.","What if the 1.7B unbanked could access global financial rails without legacy banks—via a prepaid, multi-currency card with no interest and timely-payment refunds?",XC-001,Digital Finance & Value Exchange,"1.7 billion unbanked adults lack access to global financial rails, trapped in cash economies with high friction, zero credit history, and no savings infrastructure. Legacy banking requires documentation, collateral, and fixed addresses—excluding the mobile, informal, and rural majority. The bottleneck is not demand, but non-extractive on-ramps to global money.","A prepaid multi-currency card + USSD interface built on M-Pesa/Airtel money rails, allowing users to receive wages, save, and spend without a bank account. No interest, no hidden fees, with timely-payment rewards. Excludes card manufacturing—uses existing fintech issuance partners. ","Kampala, Uganda ","Bank of Uganda (regulatory sandbox), Moov (logistics platform for driver payouts), AfDB Microfinance Unit (de-risking guarantee)",Delaware (US),Light,,"$0.50/transaction fee from 2,000 users (avg 2 txns/week) = $2,000/month. Success = 80% user retention at 6 months.",Not Started,Unclaimed,,MVP design complete; issuance partnership pending.
     6→HomeForge,"XC-013 – PortaRetire: A digital platform enabling employers to create automated retirement plans and employees to consolidate, manage, and port their funds with unprecedented flexibility.",What if transitioning your retirement savings was as effortless as switching phone plans—allowing seamless rollovers from personal funds to employer 401(k)s and back to personal control?,XC-013,Built Environments,"300 million+ Africans live in substandard housing, with formal construction too slow, expensive, and skilled-labor-intensive to meet demand. Traditional building methods cannot scale to urbanization rates of 3–5% annually. The bottleneck is not materials, but automation that reduces skilled labor by 10x without sacrificing quality.","One mobile micro-factory trailer deployed in Harare, Zimbabwe, producing wall panels, windows, and helical piles for 1 home/day. Local crews assemble on-site. No R&D—uses proven modular design and off-the-shelf CNC.","Harare, Zimbabwe","Zimbabwe National Housing Corporation (bulk offtake), AfDB Urban Development Division (pilot funding), Local builder co-op (assembly labor)",UAE,Heavy,,"$5,000/home × 4 homes/month = $20,000 revenue. Success = 3-year payback for local builders.",Not Started,Unclaimed,,"Ministry LOI for 1,000-home pilot pending cost validation."
     7→MicroDx,"XC-042 – MicroDx: A sovereign diagnostics platform that miniaturizes clinical labs into $5 disposable cartridges, read by smartphone.","What if every village clinic could run 100+ diagnostic tests from a single drop of blood—without labs, electricity, or trained technicians—using credible, FDA-grade microfluidics?",XC-042,Life Sciences,"80% of Africans lack access to basic diagnostics; clinics rely on visual guesswork or send samples to distant labs, causing fatal delays. Centralized testing is too expensive, fragile, and slow for rural settings. The bottleneck is not science, but miniaturization that brings the lab to the patient.","100 paper-based microfluidic cartridges + smartphone reader deployed to 5 clinics in Rwanda. Each cartridge tests for malaria, HIV, and anemia from one drop of blood. No electricity, no technician.","Kigali, Rwanda","Rwanda Biomedical Centre (national rollout), Gates Foundation (diagnostics grant), GSK (disease-specific co-funding)",UK,Heavy,,"$5/test × 200 tests/month = $1,000/month per clinic. Success = 90% concordance with lab results.",Not Started,Unclaimed,,Design validated in Cape Town lab; Rwanda pilot awaiting ethics approval.
     8→AfSA,"XC-017 – AfSA: Lean, public-private space agency co-founded by Xcelero and AU.","What if Africa built its own space agency—not as a NASA copy, but as a distributed, commercial-first network for Earth observation and lunar resource mapping?",XC-017,Space & Off-World Industrialization,"Africa owns 0% of its orbital data, lunar claims, or asteroid rights—despite being home to 17% of humanity and critical mineral reserves. Space is a Western monopoly, excluding the Global South from the $1T+ next industrial frontier. The bottleneck is not ambition, but a lean, commercial-first entry point.","License data from 1 existing UAE or EU satellite, reprocess for African agricultural and drought monitoring, and sell via a Rwanda-based ground station. No rocket, no satellite build—just data sovereignty.","Kigali, Rwanda","UAE Space Agency (data licensing), Rwanda Ministry of Agriculture (offtake for crop monitoring), AU Space Policy Office (continental mandate)",UAE,Light,,"$10,000/month data subscription from 2 ministries. Success = validated demand for African-owned EO services.",Not Started,Unclaimed,,UAE MoU in principle; Rwanda pilot design complete.
     9→HarvestHub,,,XC-006,Food & Agriculture,"40% of African food is lost post-harvest due to fragmented supply chains, middlemen, and no direct farmer-to-consumer link. Smallholders earn <20% of final price. The bottleneck is not production, but hyperlocal commerce infrastructure.","A WhatsApp + mobile money interface connecting 100 farmers in Lagos to 500 urban consumers, with boda-boda riders for delivery. No app, no warehouse—just coordination.","Lagos, Nigeria","Lagos State Agricultural Development Authority (farmer registry), Bolt (boda-boda fleet integration), Shoprite (demand aggregation pilot)",Mauritius,Light,,"5% margin on $20,000/month produce = $1,000/month. Success = 30% reduction in farmer post-harvest loss.",Not Started,Unclaimed,,Farmer co-op identified; Bolt integration in discussion.
    10→DISP,,,XC-031,Data & Intelligence,"3 billion people lack affordable, reliable internet due to telecom monopolies, high infrastructure costs, and no community ownership. Connectivity is treated as a utility to extract from, not a commons to build together. The bottleneck is not technology, but governance.","Custom firmware on 50 $30 Wi-Fi routers in rural Kenya, forming a mesh network where users earn micropayments for expanding coverage. No spectrum license—uses TV white space.","Kakamega, Kenya","Microsoft (TV white space partnership), M-KOPA (device financing), County Government of Kakamega (site access)",UK,Light,,$5/month/user × 100 users = $500/month + data insights sold to NGOs.,Not Started,Unclaimed,,Microsoft white space available; community council engaged.
    11→YadoDollar,,,XC-009,Digital Finance & Value Exchange,"Sustainable behaviors—recycling, public transit, energy saving—are economically invisible. There is no reward system that aligns daily choices with planetary health. The bottleneck is not awareness, but real-time economic feedback.","SMS-based points system in Kampala rewarding bus use, plastic recycling, and solar adoption. Points redeemable at local shops. No blockchain, no token—just ledger + SMS.","Kampala, Uganda","Kampala Capital City Authority (recycling bins, transit data), MTN Uganda (SMS infrastructure), Local merchant association (redemption network)",Mauritius,Light,,"2% fee on $50,000/month merchant redemptions = $1,000/month.",Not Started,Unclaimed,,KCCA climate officer supportive; MTN sandbox access pending.
    12→StartupHood,,,XC-018,Digital Finance & Value Exchange,"Only accredited investors can access early-stage venture returns—locking out 99% of the world’s population from ownership in the companies that shape their future. Civilizational progress requires democratized capital formation, not elite syndicates.","A mobile-first platform allowing anyone to invest $10 in vetted ProtoCos, compliant across 54 African jurisdictions via embedded regulatory logic. No wallet, no blockchain—just mobile money + KYC-lite.","Lagos, Nigeria","Securities and Exchange Commission Nigeria (pilot sandbox), Bolt / Moove (driver investor base), Xcelero Labs (curated ProtoCo pipeline)",Mauritius,Light,,"2% transaction fee on $500K/month invested = $10,000/month. Success = 5,000 retail investors across 3 countries within 9 months.",Not Started,Unclaimed,,MVP design validated with Lagos fintech user groups.
